feature,parent_feature,hopper_stage,priority,area_pm,customer_count,customers,total_arr
RudderStack Event Quarantine Feature Request,Build a Quarantine Zone for Violated Events,ToAreaPM,High,Drew Dodds,3,"accuRX,bol.com,lovable.dev",1038289.0
Drop events with fields containing sql ingestion strings/prototype pollution fields,Trackingplan violation management,ToAreaPM,High,Drew Dodds,2,"bol.com,lovable.dev",932789.0
Pipeline Inspector - Unified Event Tracing View,,ToAreaPM,Medium,Drew Dodds,6,"Bitpanda,Native Path,Salesloft,Love Holidays,Exinity,Kajabi",802354.0
Bot Management: Custom Bot List Upload/Configuration,Bot Management - Custom Bot list,ToAreaPM,Medium,Drew Dodds,2,"bol.com,Allbirds",591244.0
Disable free tier workspace creation for Google Sign-In users,,ToAreaPM,,Drew Dodds,2,"Sesame AI,Procter & Gamble",581800.0
Warehouse Schema Definitions and Control,Warehouse Schema Management,To Feature DB,,Drew Dodds,1,bol.com,558754.0
Schema enforcement toggle to prevent column creation on data type mismatch in warehouse destinations,Warehouse Schema Management,ToAreaPM,,Drew Dodds,1,bol.com,558754.0
Events Graph – Additional Time Range Options,,ToAreaPM,,Drew Dodds,1,bol.com,558754.0
Event Filtering by Property Values,,ToAreaPM,,Drew Dodds,1,bol.com,558754.0
E2E view of the event stream pipeline,,PSG Discovery,,Drew Dodds,1,bol.com,558754.0
Destination-aware tracking plans,Trackingplan violation management,ToAreaPM,High,Drew Dodds,1,bol.com,558754.0
Custom versioning for tracking plans (semantic versioning),Tracking plan Version Pinning,ToAreaPM,High,Drew Dodds,1,bol.com,558754.0
Align warehouse data types with tracking plan properties,Trackingplan violation management,ToAreaPM,,Drew Dodds,1,bol.com,558754.0
need to provide a way to view and update existing credentials for data retention.,,ToAreaPM,,Drew Dodds,1,Procter & Gamble,550000.0
Present invited members in members list so that its possible for org admins to configure permissions for invited member independently of whether the member accepted the invite,,ToAreaPM,,Drew Dodds,1,Procter & Gamble,550000.0
Ability to update data retention account in place instead of disconnecting first,,ToAreaPM,,Drew Dodds,1,Procter & Gamble,550000.0
Warehouse Cost Attribution / Observability,,ToAreaPM,,Drew Dodds,4,"Mattermost,Wyze,Tabnine,Playtomic",487310.0
Improved live-events capability to look for events based on customer provided criteria for better debuggability,,ToAreaPM,,Drew Dodds,1,VSCO,415000.0
[Lovable] oneOf functionality in tracking plans,,ToAreaPM,,Drew Dodds,1,lovable.dev,374035.0
Warehouse column type inference should respect tracking plan schema definitions,Warehouse Schema Management,ToAreaPM,High,Drew Dodds,1,lovable.dev,374035.0
Tracking plan Violation Management,Trackingplan violation management,ToAreaPM,High,Drew Dodds,1,lovable.dev,374035.0
JSON Schema for editor autocomplete for our YAMLs,,ToAreaPM,Medium,Drew Dodds,1,lovable.dev,374035.0
Add filter on the Live Event viewer,,ToAreaPM,High,Drew Dodds,1,Bolt,358400.0
Assist with Cars Jumpcloud SSO/SCIM URL and token generation,,ToAreaPM,,Drew Dodds,1,Cars.com,328435.0
Improve Product Usage Dashboard,,ToAreaPM,,Drew Dodds,2,"Kape Technologies,Milwaukee Tool",277000.0
feature request: block IP address transmission to destinations via dashboard,Trackingplan violation management,ToAreaPM,Medium,Drew Dodds,1,Bitpanda,249000.0
Sample Event Preview in Sources,,ToAreaPM,Medium,Drew Dodds,1,Bitpanda,249000.0
Common/global properties and property groups in tracking plans,"Tracking plan - Global rules expanded for payload outside properties like context, Tracking plan composability: Reusable maintainable dictionary of Tracking plan event schemas",ToAreaPM,,Drew Dodds,1,Glassdoor,245000.0
Warehouse Data Monitoring and Alerts,,PSG Discovery,,Drew Dodds,2,"Athletic Greens,Grafana",199600.0
"rETL alerts should evaluate failures on a per-job basis, not per-hour",,ToAreaPM,,Drew Dodds,1,Zoopla,195270.0
High volume Alert - similar to low volume alerts that we provide today.,High volume Alert - similar to low volume alerts that we provide today.,To Feature DB,Medium,Drew Dodds,2,"Caratlane,Tibber",140687.0
Observability for suppressed users,,ToAreaPM,,Drew Dodds,1,Kajabi,126500.0
Consent Management status overview exposed in UI,,ToAreaPM,,Drew Dodds,1,Kajabi,126500.0
Bot management to detect LLM bots,,ToAreaPM,,Drew Dodds,1,Grafana,109600.0
Add feature to block events with similar names,,ToAreaPM,,Drew Dodds,1,Grafana,109600.0
Enhanced SCIM User Provisioning Feature Request,,ToAreaPM,,Drew Dodds,1,Exinity,93450.0
(Exfinity) Browsing multiple workspaces,CLI Multi-Profile / Workspace Switching,ToAreaPM,,Drew Dodds,1,Exinity,93450.0
One-Click Add Events to Tracking Plan from Violations / Catalog,Import from source into existing tracking plans,ToAreaPM,Medium,Drew Dodds,1,AXS,92500.0
Allow smaller time windows for tracking plan violation filtering (below 2 hours),,ToAreaPM,,Drew Dodds,1,Essent,91000.0
MFA Improvements for RudderStack users.,TOTP Based MFA Support,To Feature DB,,Drew Dodds,2,"TicketSwap,Knack",86360.0
Application lifecycle events show up as unplanned event violations in tracking plan and block them needs extra steps to be taken by customer without the presence of event codex,,ToAreaPM,,Drew Dodds,1,FatSecret,85000.0
The source-level filtering you're looking for isn't currently applied in the underlying query itself,,ToAreaPM,,Drew Dodds,1,TicketSwap,80000.0
Prevent new org account creation for non-member SSO logins,,To Feature DB,,Drew Dodds,1,TicketSwap,80000.0
Global Privacy Control integration for consent management,,ToAreaPM,,Drew Dodds,1,ZenBusiness,44000.0
Add Rippling as an IdP for SCIM,,ToAreaPM,,Drew Dodds,1,SchoolAI,39520.0
Allow signup with google during accept invitation in RudderStack webapp,,ToAreaPM,,Drew Dodds,1,Tixel,30000.0
Show sample events of successful events too.,,ToAreaPM,,Drew Dodds,1,RevenueCat,27000.0
